Wall time,Step,Value
1691399017.7816088,0,1.8830010890960693
1691399022.7123308,1,0.46168988943099976
1691399027.6598773,2,0.30391260981559753
1691399032.5887518,3,0.24559542536735535
1691399037.5412805,4,0.2086980640888214
1691399042.513698,5,0.18240074813365936
1691399047.4614835,6,0.16362693905830383
1691399053.2710354,7,0.1489238739013672
1691399058.2793376,8,0.13723690807819366
1691399069.2678268,9,0.12807521224021912
1691399081.6552184,10,0.12024448066949844
1691399094.1413689,11,0.11360924690961838
1691399106.5536458,12,0.10820912569761276
1691399117.8630533,13,0.10313943028450012
1691399122.8956852,14,0.09888740628957748
1691399127.9267495,15,0.09540785104036331
1691399132.928281,16,0.09164366126060486
1691399139.0382812,17,0.08884160220623016
1691399145.1493604,18,0.08541513979434967
1691399151.1954403,19,0.08329170197248459
1691399157.206112,20,0.08095929026603699
1691399163.2805963,21,0.07879158854484558
1691399174.1272902,22,0.07661046832799911
1691399186.7907863,23,0.07488520443439484
1691399199.2396777,24,0.07286889851093292
1691399212.2757878,25,0.07127729803323746
1691399225.7380295,26,0.06940381228923798
1691399238.685307,27,0.06812916696071625
1691399251.2980525,28,0.06654615700244904
1691399265.0005918,29,0.06533817946910858
1691399278.8570411,30,0.06379817426204681
1691399290.9385254,31,0.0624479278922081
1691399302.966073,32,0.061516452580690384
1691399314.9483032,33,0.06042257696390152
1691399326.929932,34,0.05904647707939148
1691399338.8987594,35,0.0579255074262619
1691399350.8848088,36,0.05724349617958069
1691399362.8833795,37,0.05610183998942375
1691399374.8562229,38,0.05537572503089905
1691399386.861016,39,0.05438317358493805
1691399398.8611333,40,0.05358152091503143
1691399410.8604507,41,0.05289298668503761
1691399422.8566804,42,0.05203299596905708
1691399434.8632326,43,0.05111454054713249
1691399446.8648078,44,0.05036109313368797
1691399458.875963,45,0.04950525239109993
1691399470.8774192,46,0.04858856648206711
1691399482.8638673,47,0.04808003827929497
1691399494.8626535,48,0.0477658249437809
1691399506.8749669,49,0.04721372202038765
1691399518.8915863,50,0.0462724007666111
1691399530.9096074,51,0.04580700024962425
1691399542.9425545,52,0.045220814645290375
1691399554.9429808,53,0.044590745121240616
1691399566.9672704,54,0.043862197548151016
1691399578.998654,55,0.04323055222630501
1691399591.0190141,56,0.04294048622250557
1691399603.1738398,57,0.042166341096162796
1691399615.1907089,58,0.04190986230969429
1691399627.2122216,59,0.04151655361056328
1691399639.231178,60,0.041229140013456345
1691399651.2308295,61,0.04051421582698822
1691399663.3043635,62,0.04004022479057312
1691399679.6647325,63,0.03969944268465042
1691399701.9408932,64,0.03931121528148651
1691399725.0135765,65,0.038680724799633026
1691399747.8764317,66,0.03845330327749252
1691399770.259276,67,0.037995122373104095
1691399792.4398139,68,0.03760746866464615
1691399813.7496204,69,0.03715486824512482
1691399828.0691552,70,0.03691243752837181
1691399846.3804507,71,0.036332085728645325
1691399869.6463232,72,0.036267735064029694
1691399892.6341732,73,0.035707101225852966
1691399907.669244,74,0.03534781560301781
1691399921.8673582,75,0.03524322062730789
1691399935.9088233,76,0.03489533066749573
